platform,title,published by,developed by,released,genre,perspective,visual,art,gameplay,interface,userReviews,userReviewCount,averageUserReview,criticReviews,criticReviewCount,averageCriticReview
Wii U,Pokémon Mystery Dungeon: Blue Rescue Team,Nintendo of America Inc.,"Chunsoft Co., Ltd.","Jun 23, 2016",Role-playing (RPG),Diagonal-down,,Anime / Manga,Roguelike,,,0,,[70.0],1,70.0
Wii U,Pokémon Mystery Dungeon: Explorers of Sky,Nintendo of America Inc.,"Chunsoft Co., Ltd.","Jun 23, 2016",Role-playing (RPG),Diagonal-down,,,Roguelike,,,0,,,0,
Wii U,Pokémon Mystery Dungeon: Red Rescue Team,Nintendo of America Inc.,"Chunsoft Co., Ltd.","Jun 23, 2016",Role-playing (RPG),Diagonal-down,,Anime / Manga,Roguelike,,,0,,[70.0],1,70.0
Wii U,Pokémon Pinball: Ruby & Sapphire,Nintendo of America Inc.,Jupiter Corp.,"Jan 01, 2015",Action,Top-down,,,Pinball,,,0,,[70.0],1,70.0
Wii U,Pokémon Ranger,Nintendo of America Inc.,"Creatures, Inc., HAL Laboratory, Inc.","Jul 21, 2016",Action,Diagonal-down,Isometric,,RPG elements,,,0,,[60.0],1,60.0
Wii U,Pokémon Ranger: Guardian Signs,Nintendo of America Inc.,"Creatures, Inc.","Aug 18, 2016",Action,Diagonal-down,,,RPG elements,,,0,,,0,
Wii U,Pokémon Ranger: Shadows of Almia,Nintendo of America Inc.,"Creatures, Inc.","Aug 04, 2016",Action,Diagonal-down,,,RPG elements,,,0,,,0,
Wii U,Pokémon Rumble U,Nintendo of America Inc.,Ambrella,"Aug 29, 2013",Action,Diagonal-down,,Anime / Manga,Fighting,,,0,,"[60.0, 42.0, 40.0, 30.0]",4,43.0
Wii U,Pokémon Snap,Nintendo of America Inc.,"HAL Laboratory, Inc., Nintendo Co., Ltd.","Jan 05, 2017",,1st-person,,,"Rail shooter, Shooter",,,0,,[75.0],1,75.0
Wii U,PokéPark Wii: Pikachu's Adventure,Nintendo of America Inc.,"Creatures, Inc., Pokémon Company, The","May 19, 2016",Action,Behind view,,Anime / Manga,,,,0,,,0,
Wii U,Poker Dice Solitaire Future,RCMADIAX LLC,RCMADIAX LLC,"Jul 03, 2014",Strategy,,,,,,,0,,"[75.0, 50.0]",2,62.5
Wii U,Pokkén Tournament,Nintendo of America Inc.,BANDAI NAMCO Entertainment Inc.,"Mar 18, 2016",Action,"Behind view, Side view",,Anime / Manga,Fighting,,,0,,"[91.0, 90.0, 80.0, 79.0, 70.0, 70.0, 70.0, 62.0]",8,76.5
Wii U,Pokkén Tournament with Wii U Pokkén Tournament Pro Pad Bundle,Nintendo of America Inc.,,"Mar 18, 2016",Special edition,,,,,,,0,,,0,
Wii U,Polarium Advance,Nintendo of America Inc.,Mitchell Corporation,"Feb 11, 2016",Puzzle,Top-down,,,Falling block puzzle,,,0,,,0,
Wii U,Poncho,Rising Star Games Inc.,Delve Interactive,"Aug 18, 2016",Action,Side view,2D scrolling,,Platform,,,0,,[60.0],1,60.0
Wii U,Pooyan,"Konami Digital Entertainment Co., Ltd.",Konami Industry Co. Ltd.,"Jun 10, 2015",Action,Side view,Fixed / flip-screen,,"Arcade, Shooter",,,0,,,0,
Wii U,Pop'n Twinbee,"Konami Digital Entertainment Co., Ltd.","Konami Co., Ltd.","May 07, 2014",Action,Top-down,2D scrolling,Anime / Manga,"Arcade, Shooter",,,0,,,0,
Wii U,Pop'n TwinBee Rainbow Bell Adventures,"Konami Digital Entertainment Co., Ltd.","Konami Co., Ltd.","May 21, 2014",Action,Side view,2D scrolling,Anime / Manga,"Arcade, Shooter",,,0,,,0,
Wii U,Power Golf,"Konami Digital Entertainment, Inc.","Hudson Soft Company, Ltd.","Nov 02, 2017",Sports,"Behind view, Top-down","2D scrolling, Fixed / flip-screen",,,,,0,,,0,
Wii U,Power Instinct,"Atlus Co., Ltd.","Atlus Co., Ltd.","Nov 11, 2015",Action,Side view,2D scrolling,,"Arcade, Fighting",,,0,,,0,
Wii U,Preston Sterling and the Legend of Excalibur,Miracle Box Games,Animation Arts Creative GmbH,"Jun 27, 2017",Adventure,"1st-person, 3rd-person (Other)","2D scrolling, Fixed / flip-screen",,"Graphic adventure, Puzzle elements",,,0,,,0,
Wii U,Princess Tomato in the Salad Kingdom,"Konami Digital Entertainment Co., Ltd.","Hudson Soft Company, Ltd.","May 14, 2014",Adventure,1st-person,,,Puzzle elements,,,0,,,0,
Wii U,Prism Pets,Intropy Games,"Mouse Potato Games, LLC","Jun 30, 2016",Puzzle,1st-person,Fixed / flip-screen,,Tile matching puzzle,,,0,,[40.0],1,40.0
