platform,title,published by,developed by,released,genre,perspective,visual,art,gameplay,interface,userReviews,userReviewCount,averageUserReview,criticReviews,criticReviewCount,averageCriticReview
Gamecube,BMX XXX,"Acclaim Entertainment, Inc.","Z-Axis, Ltd.","Nov 24, 2002",Sports,Behind view,,,Tricks / stunts,,,0,,"[85.0, 70.0, 68.0, 67.0, 60.0, 54.0, 54.0, 50.0, 45.0, 30.0]",10,58.3
Gamecube,Bomberman Generation,"Majesco Sales, Inc.","Game Arts Co., Ltd.","Jun 04, 2002",Action,Diagonal-down,,,Puzzle elements,,[1.75],1,1.75,"[85.0, 82.0, 81.0, 80.0, 80.0, 80.0, 75.0, 70.0, 57.0, 50.0]",10,74.0
Gamecube,Bomberman Jetters,"Majesco Sales, Inc.","Hudson Soft Company, Ltd.","Mar 15, 2004",Action,Top-down,2D scrolling,,"Platform, Puzzle elements",,,0,,"[83.0, 80.0, 79.0, 79.0, 70.0, 70.0, 70.0, 67.0, 65.0, 60.0]",10,72.3
Gamecube,Bomberman Land 2,"Hudson Soft Company, Ltd.","Racjin Co., Ltd.","Jul 31, 2003","Puzzle, Racing / Driving, Role-playing (RPG)",,,,Mini-games,,,0,,,0,
Gamecube,Bratz Forever Diamondz,THQ Inc.,"Blitz Games Ltd, Coyote Developments Ltd","Nov 02, 2006",Action,"3rd-person (Other), Behind view",,,Life / social simulation,,,0,,[30.0],1,30.0
Gamecube,Bratz Rock Angelz,THQ Inc.,Blitz Games Ltd,2005,Action,"3rd-person (Other), Behind view",,,Mini-games,,,0,,"[45.0, 30.0]",2,37.5
Gamecube,Buffy the Vampire Slayer: Chaos Bleeds,"Vivendi Universal Games, Inc.",Eurocom Developments Ltd,"Aug 26, 2003",Action,Behind view,,,Puzzle elements,,,0,,"[82.0, 82.0, 80.0, 80.0, 79.0, 77.0, 76.0, 74.0, 70.0, 60.0]",10,76.0
Gamecube,Burnout,"Acclaim Entertainment, Inc.",Criterion Software Ltd.,"Apr 30, 2002","Action, Racing / Driving","1st-person, Behind view",,,,,[2.6],1,2.6,"[87.0, 85.0, 84.0, 81.0, 80.0, 75.0, 75.0, 75.0, 70.0, 60.0]",10,77.2
Gamecube,Burnout 2: Point of Impact,"Acclaim Entertainment, Inc.",Criterion Software Ltd.,"Apr 09, 2003","Action, Racing / Driving","1st-person, Behind view",,,,,"[3.2, 4.4]",2,3.8000000000000003,"[93.0, 90.0, 90.0, 90.0, 90.0, 88.0, 85.0, 85.0, 85.0, 83.0]",10,87.9
Gamecube,Butt-Ugly Martians: Zoom or Doom!,"Vivendi Universal Games, Inc.",Runecraft Ltd.,2003,"Action, Racing / Driving",Behind view,,,,,,0,,"[38.0, 23.0]",2,30.5
Gamecube,Cabela's Big Game Hunter 2005 Adventures,"Activision Value Publishing, Inc.",Magic Wand Productions,"Dec, 2004","Action, Simulation, Sports",,,,Hunting,,,0,,,0,
Gamecube,Cabela's Dangerous Hunts 2,"Activision Value Publishing, Inc.",Sand Grain Studios,"Nov, 2005",Action,1st-person,,,Shooter,,,0,,"[66.0, 63.0]",2,64.5
Gamecube,Cabela's Outdoor Adventures,"Activision Publishing, Inc.",Magic Wand Productions,"Sep 13, 2005",Simulation,1st-person,,,Hunting,,,0,,,0,
Gamecube,Call of Duty 2: Big Red One,"Activision Publishing, Inc.","Gray Matter Interactive Studios, Inc., Treyarch Corporation","Nov 01, 2005",Action,"1st-person, Behind view",,,Shooter,,[3.57],1,3.57,"[90.0, 83.0, 80.0, 78.0, 75.0, 75.0, 74.0, 70.0, 60.0, 58.0]",10,74.3
Gamecube,Call of Duty: Finest Hour,"Activision Publishing, Inc.",Spark Unlimited,"Nov 16, 2004",Action,"1st-person, Behind view",,,Shooter,,,0,,"[90.0, 85.0, 80.0, 78.0, 75.0, 74.0, 70.0, 66.0, 65.0, 60.0]",10,74.3
Gamecube,Capcom vs. SNK 2: Mark of the Millennium,"Capcom Entertainment, Inc.","Capcom Co., Ltd.","Sep, 2002",Action,Side view,2D scrolling,Anime / Manga,"Arcade, Fighting",,,0,,"[80.0, 79.0, 72.0, 70.0, 70.0, 66.0, 60.0, 60.0, 58.0, 54.0]",10,66.9
Gamecube,Carmen Sandiego: The Secret of the Stolen Drums,"BAM! Entertainment, Inc.",Artificial Mind & Movement,"Sep, 2004",Action,"1st-person, Behind view",,,"Platform, Puzzle elements, Stealth",,,0,,"[70.0, 56.0, 51.0, 47.0]",4,56.0
Gamecube,Casper: Spirit Dimensions,"TDK Mediactive, Inc.","Lucky Chicken Games, Inc.","Oct 01, 2002",Action,Behind view,,,"Arcade, Shooter",,,0,,"[70.0, 70.0, 55.0]",3,65.0
Gamecube,Castle Shikigami 2,"Kids Station, Inc.","AlfaSystem Co., Ltd.","Oct 24, 2003",Action,Top-down,,Anime / Manga,"Arcade, Shooter",,,0,,[60.0],1,60.0
