platform,title,published by,developed by,released,genre,perspective,visual,art,gameplay,interface,userReviews,userReviewCount,averageUserReview,criticReviews,criticReviewCount,averageCriticReview
Nintendo DS,Final Fantasy: Crystal Chronicles - Echoes of Time,"Square Enix, Inc.","Square Enix Co., Ltd.","Mar 24, 2009","Action, Role-playing (RPG)","3rd-person (Other), Top-down",Isometric,,,,,0,,"[85.0, 80.0, 80.0, 76.0, 75.0, 75.0, 75.0, 75.0, 70.0, 65.0]",10,75.6
Nintendo DS,Final Fantasy: Crystal Chronicles - Ring of Fates,"Square Enix, Inc.","Square Enix Co., Ltd.","Mar 11, 2008",Role-playing (RPG),3rd-person (Other),,,"Action RPG, Puzzle elements",,,0,,"[100.0, 82.0, 81.0, 80.0, 80.0, 76.0, 70.0, 70.0, 70.0, 70.0]",10,77.9
Nintendo DS,Final Fantasy Fables: Chocobo Tales,"Square Enix, Inc.",h.a.n.d. Inc.,"Apr 03, 2007",Action,Diagonal-down,2D scrolling,,"Cards / tiles, Puzzle elements",,,0,,"[83.0, 80.0, 77.0, 75.0, 70.0, 70.0, 70.0, 65.0, 60.0, 40.0]",10,69.0
Nintendo DS,Final Fantasy III,"Square Enix, Inc.","Matrix Software, Square Enix Co., Ltd.","Nov 14, 2006",Role-playing (RPG),Diagonal-down,,Anime / Manga,Japanese-style RPG (JRPG),,[2.67],1,2.67,"[100.0, 100.0, 90.0, 85.0, 80.0, 80.0, 80.0, 80.0, 75.0, 60.0]",10,83.0
Nintendo DS,Final Fantasy IV,"Square Enix, Inc.",Matrix Software,"Jul 22, 2008",Role-playing (RPG),Diagonal-down,,Anime / Manga,,,[4.29],1,4.29,"[100.0, 95.0, 92.0, 90.0, 86.0, 85.0, 83.0, 80.0, 80.0, 70.0]",10,86.1
Nintendo DS,Final Fantasy Tactics A2: Grimoire of the Rift,"Square Enix, Inc.","Square Enix Co., Ltd.","Jun 24, 2008","Role-playing (RPG), Strategy",,Isometric,,,,"[2.67, 4.67]",2,3.67,"[100.0, 92.0, 90.0, 90.0, 88.0, 83.0, 80.0, 79.0, 70.0, 65.0]",10,83.7
Nintendo DS,Final Fantasy: The 4 Heroes of Light,"Square Enix, Inc.","Matrix Software, Square Enix Co., Ltd.","Oct 05, 2010",Role-playing (RPG),Diagonal-down,,,,,,0,,"[85.0, 80.0, 80.0, 75.0, 70.0, 70.0, 70.0, 60.0, 60.0, 50.0]",10,70.0
Nintendo DS,Final Fantasy XII: Revenant Wings,"Square Enix, Inc.","Square Enix Co., Ltd., Think & Feel Inc.","Nov 20, 2007","Role-playing (RPG), Strategy",Diagonal-down,Isometric,,,,,0,,"[90.0, 90.0, 83.0, 80.0, 80.0, 80.0, 80.0, 75.0, 70.0, 70.0]",10,79.8
Nintendo DS,Finding Nemo: Escape to the Big Blue,THQ Inc.,Altron Corporation,"Feb 09, 2006","Action, Racing / Driving","Side view, Top-down",,,"Arcade, Puzzle elements",,,0,,"[70.0, 68.0]",2,69.0
Nintendo DS,Fire Emblem: Shadow Dragon,Nintendo of America Inc.,"Intelligent Systems Co., Ltd.","Feb 16, 2009","Role-playing (RPG), Strategy",Top-down,,Anime / Manga,,,[4.0],1,4.0,"[85.0, 83.0, 82.0, 82.0, 80.0, 80.0, 80.0, 80.0, 70.0, 65.0]",10,78.7
Nintendo DS,Fire Emblem: Shin Monshō no Nazo - Hikari to Kage no Eiyū,"Nintendo Co., Ltd.","Intelligent Systems Co., Ltd.","Jul 15, 2010","Role-playing (RPG), Strategy",Top-down,,Anime / Manga,Tactical RPG,,,0,,,0,
Nintendo DS,Fireman Sam,GSP Software,Uacari SARL,"Aug 27, 2010",Action,"1st-person, 3rd-person (Other)",,,Mini-games,,,0,,,0,
Nintendo DS,Fishdom,"Atari, Inc.",Playrix LLC,"Jun 28, 2011",Puzzle,Side view,Fixed / flip-screen,,"Life / social simulation, Tile matching puzzle",,,0,,[60.0],1,60.0
Nintendo DS,Fish Tycoon,Majesco Entertainment Company,"LDW Software, LLC","Oct 16, 2007","Simulation, Strategy",3rd-person (Other),,,Managerial / business simulation,,,0,,"[40.0, 20.0, 10.0]",3,23.333333333333332
Nintendo DS,Fix It: Home Improvement Challenge,Nobilis France,Freedom Factory Studios,"May 21, 2010",Action,,,,Mini-games,,,0,,,0,
Nintendo DS,FIZZ,Lexicon Entertainment UK Limited,DK Games,"Jul 04, 2008",Puzzle,,,,,,,0,,,0,
Nintendo DS,Flåklypa Grand Prix,PAN Vision AB,Ravn Studio AS,"May 07, 2010","Puzzle, Racing / Driving","Side view, Top-down",,,,,,0,,[67.0],1,67.0
Nintendo DS,Flash Focus: Vision Training in Minutes a Day,Nintendo of America Inc.,"Namco Bandai Games Inc., Nintendo SDD","Oct 16, 2007",Action,1st-person,,,Mental training,,,0,,"[72.0, 72.0, 70.0, 60.0, 60.0, 58.0, 55.0, 50.0, 30.0, 30.0]",10,55.7
Nintendo DS,Flipper Critters,Ignition Entertainment Ltd. USA,Zen Stúdió Kft,"Oct 09, 2007",Action,Top-down,,,"Mini-games, Pinball",,,0,,"[58.0, 40.0]",2,49.0
Nintendo DS,Flips: Artemis Fowl,"Electronic Arts, Inc.","EA Bright Light, Shanghai Mineloader Software Co., Ltd.","Dec 04, 2009",Educational,,,,Interactive book,,,0,,,0,
Nintendo DS,Flips: Cathy Cassidy,"Electronic Arts, Inc.","EA Bright Light, Shanghai Mineloader Software Co., Ltd.","Dec 04, 2009",Educational,,,,Interactive book,,,0,,,0,
Nintendo DS,Flips: Faraway Tree Stories,"Electronic Arts, Inc.","EA Bright Light, Shanghai Mineloader Software Co., Ltd.","Dec 04, 2009",Educational,,,,Interactive book,,,0,,,0,
Nintendo DS,Flips: Mr. Gum,"Electronic Arts, Inc.","EA Bright Light, Shanghai Mineloader Software Co., Ltd.","Apr 23, 2010",Educational,,,,Interactive book,,,0,,,0,
Nintendo DS,Flips: Percy Jackson,"Electronic Arts, Inc.","EA Bright Light, Shanghai Mineloader Software Co., Ltd.","Feb 12, 2010",Educational,,,,Interactive book,,,0,,,0,
Nintendo DS,Flips: The Adventure Series,"Electronic Arts, Inc.","EA Bright Light, Shanghai Mineloader Software Co., Ltd.","Apr 23, 2010",Educational,,,,Interactive book,,,0,,,0,
Nintendo DS,Flips: Too Ghoul for School,"Electronic Arts, Inc.","EA Bright Light, Shanghai Mineloader Software Co., Ltd.","Dec 04, 2009",Educational,,,,Interactive book,,,0,,,0,
Nintendo DS,Florist Shop,"UFO Interactive Games, Inc.",Teyon S.A.,"Jun 29, 2010",Puzzle,,,,"Tile matching puzzle, Time management",,,0,,[60.0],1,60.0
Nintendo DS,Flower Sun and Rain,"Marvelous Entertainment USA, Inc.",Grasshopper Manufacture Inc.,"Jun 16, 2009",Adventure,3rd-person (Other),,,Puzzle elements,,,0,,"[79.0, 76.0, 70.0, 65.0, 60.0, 60.0, 55.0, 50.0, 50.0, 40.0]",10,60.5
Nintendo DS,Foot 2 Rue: Nicolas Anelka,Deep Silver,Otaboo,2009,"Action, Sports","Diagonal-down, Side view",2D scrolling,,Mini-games,,,0,,,0,
Nintendo DS,Football Academy,"Electronic Arts, Inc.","Electronic Arts Canada, HB Studios Multimedia Ltd.","Mar 19, 2009",Sports,1st-person,,,"Cards / tiles, Managerial / business simulation",,,0,,"[82.0, 80.0, 74.0, 70.0, 60.0, 59.0, 40.0]",7,66.42857142857143
Nintendo DS,Ford Racing 3,"Destination Software, Inc.","Razorworks, Visual Impact","Dec, 2005",Racing / Driving,"1st-person, Behind view",,,,,,0,,"[63.0, 60.0, 50.0, 50.0, 46.0, 30.0]",6,49.833333333333336
Nintendo DS,Fort Boyard: Le Jeu,Mindscape France,DreamOn Studio,"Jun 19, 2008","Action, Simulation",,,,"Game show / trivia / quiz, Mini-games",,,0,,,0,
Nintendo DS,Fossil Fighters,"Nintendo Co., Ltd.","Artdink Corporation, M2 Co., Ltd., Red Entertainment Corporation","Sep 17, 2009",Role-playing (RPG),3rd-person (Other),Isometric,,,,,0,,"[80.0, 75.0, 70.0]",3,75.0
Nintendo DS,Fossil Fighters: Champions,Nintendo of America Inc.,"Artdink Corporation, M2 Co., Ltd., Nintendo SPD, Red Entertainment Corporation","Nov 14, 2011",Role-playing (RPG),3rd-person (Other),Isometric,,,,,0,,,0,
Nintendo DS,Fossil League: Dino Tournament Championship,"D3Publisher of America, Inc.","MTO Co., Ltd.","Jan 16, 2007","Educational, Role-playing (RPG)",,,,,,,0,,"[65.0, 40.0]",2,52.5
