platform,title,published by,developed by,released,genre,perspective,visual,art,gameplay,interface,userReviews,userReviewCount,averageUserReview,criticReviews,criticReviewCount,averageCriticReview
Switch,Mercenaries Saga: Chronicles,CIRCLE Entertainment Ltd.,Rideon Incorporated,"Feb 08, 2018","Compilation, Role-playing (RPG), Strategy",Diagonal-down,2D scrolling,,Tactical RPG,,,0,,"[70.0, 60.0]",2,65.0
Switch,Mercenaries Series Bundle,CIRCLE Entertainment Ltd.,,"Oct 07, 2021",Compilation,,,,,,,0,,,0,
Switch,Mercenaries Wings: The False Phoenix,CIRCLE Entertainment Ltd.,Rideon Incorporated,"Nov 08, 2018","Role-playing (RPG), Strategy",Diagonal-down,,Anime / Manga,Tactical RPG,,,0,,"[60.0, 50.0]",2,55.0
Switch,Mercenary Kings,Tribute Games Inc.,Tribute Games Inc.,"Feb 06, 2018",Action,Side view,2D scrolling,,"Platform, RPG elements, Shooter",,,0,,"[90.0, 76.0, 60.0]",3,75.33333333333333
Switch,Merchant of the Skies,AbsoDev SIA,Coldwild Games,"Jul 30, 2020",Simulation,Side view,,,"Managerial / business simulation, RPG elements",,,0,,,0,
Switch,Merchants of Kaidan,Forever Entertainment S. A.,Forever Entertainment S. A.,"Jan 31, 2019","Role-playing (RPG), Strategy",1st-person,"2D scrolling, Fixed / flip-screen",,"Life / social simulation, Managerial / business simulation",,,0,,,0,
Switch,Mercury Race,FrontView Studio,Herrero Games,"Feb 07, 2019","Action, Racing / Driving",Behind view,,,Shooter,,,0,,[60.0],1,60.0
Switch,Merek's Market,Big Village Games Ltd.,Big Village Games Ltd.,"Jan 21, 2022",Simulation,"Diagonal-down, Top-down",2D scrolling,,"Managerial / business simulation, RPG elements",,,0,,,0,
Switch,Merge Your Room,Prison Games Sp. z o. o.,Prison Games Sp. z o. o.,"Jul 29, 2022",Puzzle,Top-down,Fixed / flip-screen,,,,,0,,,0,
Switch,Mermaid Castle,IceTorch Interactive,IceTorch Interactive,"Mar 26, 2021",Adventure,Side view,2D scrolling,,"Arcade, Platform",,,0,,,0,
Switch,Mermaid Story,Prison Games Sp. z o. o.,Marionette Games,"Sep 30, 2022",Puzzle,,Fixed / flip-screen,,,,,0,,,0,
Switch,Mermaid Story: Pack of Friends,Prison Games Sp. z o. o.,,"Sep 30, 2022",DLC / Add-on,,,,,,,0,,,0,
Switch,Merrily Perilly,"Top Hat Studios, Inc.",Squiddershins,"Jun 30, 2021",Adventure,Top-down,2D scrolling,,Puzzle elements,,,0,,,0,
Switch,Merry Christmas Snowball Bubble,FuriouSoftPhoenix,FuriouSoftPhoenix,"Dec 24, 2021","Puzzle, Strategy",1st-person,,,Tile matching puzzle,,,0,,,0,
Switch,The Messenger: Picnic Panic,"Devolver Digital, Inc.",,"Jul 11, 2019",DLC / Add-on,,,,,,,0,,,0,
Switch,The Messenger,"Devolver Digital, Inc.",Sabotage Studio Inc.,"Aug 30, 2018",Action,Side view,2D scrolling,,"Platform, Puzzle elements",,,0,,"[100.0, 100.0, 100.0, 95.0, 93.0, 86.0, 85.0, 80.0, 80.0, 80.0]",10,89.9
Switch,MetaChampions,"OctoBox, LLC","OctoBox, LLC","Apr 02, 2020","Action, Strategy",Diagonal-down,Fixed / flip-screen,,,,,0,,,0,
Switch,Metagal,Ratalaika Games S.L.,Retro Revolution,"Mar 29, 2019",Action,Side view,2D scrolling,,"Platform, Shooter",,,0,,,0,
Switch,Metal Commando,Ultimate Games S.A.,NZT Studio,"Aug 19, 2021",Action,Side view,2D scrolling,,"Platform, Shooter",,,0,,,0,
Switch,Metallic Child,CREST Inc.,Studio HG,"Sep 16, 2021",Action,Diagonal-down,2D scrolling,Anime / Manga,"Action RPG, Hack and slash, Roguelike, Shooter",,,0,,,0,
Switch,Metal Max Xeno: Reborn,PQube Ltd,"Kadokawa Games, Ltd.","Jun 10, 2022",Role-playing (RPG),"1st-person, 3rd-person (Other), Behind view",,,Action RPG,,,0,,,0,
Switch,Metal Ninja,"LYUS Co., Ltd.","LYUS Co., Ltd.","Oct 20, 2022",Action,Side view,2D scrolling,,"Platform, Puzzle elements",,,0,,,0,
Switch,Metaloid: Origin,7 Raven Studios Co. Ltd.,Retro Revolution,"Jul 11, 2019",Action,Side view,2D scrolling,,"Platform, Shooter",,,0,,,0,
Switch,Metal Slug 1st & 2nd Mission: Double Pack,SNK Corporation,SNK Corporation,"Sep 15, 2021","Action, Compilation",Side view,2D scrolling,,"Arcade, Platform, Shooter",,,0,,,0,
Switch,Metal Slug 2: Super Vehicle - 001/II,HAMSTER Corporation,SNK Corporation,"Jul 06, 2017",Action,Side view,2D scrolling,,"Arcade, Platform, Shooter",,,0,,"[80.0, 76.0, 70.0, 60.0]",4,71.5
Switch,Metal Slug 3,HAMSTER Corporation,SNK Corporation,"Mar 09, 2017",Action,Side view,2D scrolling,Anime / Manga,"Platform, Shooter",,,0,,"[80.0, 80.0, 80.0, 80.0, 70.0]",5,78.0
Switch,Metal Slug 4,HAMSTER Corporation,"MEGA Enterprise Co., Ltd., Noise Factory","Aug 09, 2018",Action,Side view,2D scrolling,Anime / Manga,"Arcade, Platform, Shooter",,,0,,,0,
Switch,Metal Slug 5,HAMSTER Corporation,SNK Playmore Corporation,"Dec 13, 2018",Action,Side view,2D scrolling,Anime / Manga,"Arcade, Platform, Shooter",,,0,,,0,
Switch,Metal Slug: Super Vehicle - 001,HAMSTER Corporation,Nazca Corporation,"Mar 30, 2017",Action,Side view,2D scrolling,,"Platform, Shooter",,,0,,"[80.0, 80.0, 75.0, 60.0]",4,73.75
Switch,Metal Slug X,HAMSTER Corporation,SNK Corporation,"Oct 05, 2017",Action,Side view,2D scrolling,Anime / Manga,"Arcade, Platform, Shooter",,,0,,[80.0],1,80.0
Switch,Metal Unit,Neowiz Games Corporation,JellySnow Studio,"Jun 17, 2021",Action,Side view,2D scrolling,Anime / Manga,"Platform, Roguelike, Shooter",,,0,,[80.0],1,80.0
Switch,Metamorphosis,All in! Games Sp.z o.o.,Ovid Works S.A.,"Aug 12, 2020",Action,1st-person,,,Puzzle elements,,,0,,,0,
Switch,Metaverse Keeper,CIRCLE Entertainment Ltd.,Sparks Games,"Nov 12, 2020","Action, Role-playing (RPG)",Diagonal-down,2D scrolling,,Roguelike,,,0,,,0,
Switch,Meteoroids 3D: A Tribute to Asteroids,"Isdec Soluciones Globales En RR.HH., S.L.",Titan Deep Space Company,"Sep 29, 2021",Action,1st-person,,,Shooter,,,0,,,0,
Switch,Metro 2033: Redux,Koch Media GmbH (Austria),4A Games Limited,"Feb 28, 2020",Action,1st-person,,,"Quick Time Events (QTEs), Shooter, Stealth",,,0,,"[90.0, 80.0]",2,85.0
Switch,Metro Cross,HAMSTER Corporation,Namco Limited,"Aug 18, 2022","Action, Sports",Side view,,,,,,0,,,0,
Switch,Metroid,Nintendo of America Inc.,Nintendo R&D1,"Nov 14, 2018",Action,Side view,2D scrolling,,"Metroidvania, Platform, Shooter",,,0,,,0,
