platform,title,published by,developed by,released,genre,perspective,visual,art,gameplay,interface,userReviews,userReviewCount,averageUserReview,criticReviews,criticReviewCount,averageCriticReview
Gameboy Advance,American Bass Challenge,Ubi Soft Entertainment Ltd.,Starfish Inc.,"Dec, 2001",Sports,Top-down,,,,,,0,,"[80.0, 78.0, 70.0, 68.0, 65.0, 61.0, 60.0]",7,68.85714285714286
Gameboy Advance,American Idol,"Codemasters Software Company Limited, The",Möbius Entertainment Ltd.,"Nov 18, 2003",Action,3rd-person (Other),,,"Game show / trivia / quiz, Music / rhythm",,,0,,"[65.0, 48.0, 30.0, 10.0]",4,38.25
Gameboy Advance,An American Tail: Fievel's Gold Rush,Swing! Entertainment Media AG,Hokus Pokus,2001,Action,Side view,,,,,[4.6],1,4.6,"[65.0, 64.0, 55.0, 50.0]",4,58.5
Gameboy Advance,Angel Collection 2: Pichimo ni Narō,"Gakken Co., Ltd.","MTO Co., Ltd.","Sep 22, 2004",Simulation,Top-down,,Anime / Manga,Life / social simulation,,,0,,,0,
Gameboy Advance,Angel Collection: Mezase! Gakuen no Fashion Leader,"Gakken Co., Ltd.","MTO Co., Ltd.","Apr 18, 2003",Simulation,Top-down,,Anime / Manga,Life / social simulation,,,0,,,0,
Gameboy Advance,Animal Snap: Rescue Them 2 by 2,Ignition Entertainment Ltd.,Ignition Entertainment Ltd.,2002,"Action, Puzzle",,Fixed / flip-screen,,"Cards / tiles, Tile matching puzzle",,,0,,,0,
Gameboy Advance,"Animaniacs: Lights, Camera, Action!",Ignition Entertainment Ltd.,Warthog Sweden,"Aug 12, 2005",Action,Diagonal-down,Isometric,,"Music / rhythm, Platform, Puzzle elements",,,0,,"[71.0, 60.0, 60.0, 56.0, 50.0, 50.0, 50.0, 50.0, 45.0, 35.0]",10,52.7
Gameboy Advance,The Ant Bully,"Midway Home Entertainment, Inc.",Artificial Mind & Movement,"Jul 24, 2006",Action,Diagonal-down,2D scrolling,,Puzzle elements,,,0,,,0,
Gameboy Advance,Antz Extreme Racing,Empire Interactive Entertainment,Magic Pockets SAS,"Oct 22, 2002",Racing / Driving,Behind view,,,Arcade,,,0,,"[75.0, 57.0, 55.0]",3,62.333333333333336
Gameboy Advance,Archer Maclean's Pool,Ignition Entertainment Ltd. USA,,2005,Sports,1st-person,,,,,,0,,,0,
Gameboy Advance,Arctic Tale,"Destination Software, Inc.",Atomic Planet Entertainment Limited,"Oct, 2007",Action,Top-down,,,,,,0,,[30.0],1,30.0
Gameboy Advance,Army Men: Advance,"3DO Company, The","DC Studios, Inc.","Aug 11, 2001",Strategy,Diagonal-down,Isometric,,Shooter,,,0,,"[73.0, 70.0, 65.0, 62.0, 60.0, 55.0, 50.0, 45.0, 44.0, 20.0]",10,54.4
Gameboy Advance,Army Men: Operation Green,"3DO Company, The",Pocket Studios,"Dec 10, 2001",Action,Diagonal-down,Isometric,,Shooter,,,0,,"[75.0, 70.0, 66.0, 62.0, 60.0, 40.0]",6,62.166666666666664
Gameboy Advance,Around the World in 80 Days,Hip Games,"Saffire, Inc","Oct 29, 2004",Action,Side view,2D scrolling,,Platform,,,0,,,0,
Gameboy Advance,Arthur and the Invisibles: The Game,"Atari Interactive, Inc.",Mistic Software Inc.,"Jan, 2007",Action,Side view,2D scrolling,,Puzzle elements,,,0,,"[60.0, 55.0, 47.0, 41.0, 32.0]",5,47.0
Gameboy Advance,Artifact,Foreign Media Games,Engine Software B.V.,2003,Puzzle,Top-down,,,"Cards / tiles, Tile matching puzzle",,,0,,,0,
Gameboy Advance,A Sound of Thunder,"BAM! Entertainment, Inc.",Möbius Entertainment Ltd.,"Feb 01, 2005",Action,Diagonal-down,Isometric,,Shooter,,,0,,"[83.0, 80.0, 75.0, 70.0]",4,77.0
Gameboy Advance,Asterix & Obelix: Bash Them All!,Infogrames Europe SA,Bit Managers S.L.,2002,Action,Side view,2D scrolling,,Platform,,,0,,"[79.0, 75.0, 71.0, 64.0, 30.0]",5,63.8
Gameboy Advance,Astérix & Obélix XXL,Atari Europe S.A.S.U.,Velez & Dubail Dev. Team,"Jun, 2004",Action,Behind view,,,"Fighting, Platform",,,0,,"[80.0, 70.0, 65.0, 30.0]",4,61.25
Gameboy Advance,Asteroids / Pong / Yars' Revenge,"Destination Software, Inc.","EC-Interactive, Ltd","Aug 23, 2005",Compilation,,,,,,,0,,,0,
Gameboy Advance,Astro Boy: Omega Factor,"SEGA of America, Inc.","Hitmaker, Treasure Co., Ltd.","Aug 17, 2004",Action,Side view,2D scrolling,Anime / Manga,Shooter,,[4.5],1,4.5,"[100.0, 90.0, 87.0, 87.0, 85.0, 85.0, 80.0, 80.0, 70.0, 60.0]",10,82.4
Gameboy Advance,Atari: Anniversary Advance,"Infogrames, Inc.","Digital Eclipse Software, Inc.","Mar 26, 2002","Action, Compilation","Side view, Top-down",,,"Puzzle elements, Shooter",,,0,,"[80.0, 80.0, 80.0, 78.0, 67.0, 67.0, 53.0, 40.0, 10.0]",9,61.666666666666664
Gameboy Advance,Atomic Betty,Namco Hometek Inc.,"Big Blue Bubble Inc., Breakthrough New Media","Oct 25, 2005",Action,3rd-person (Other),,,"Platform, Puzzle elements",,,0,,"[75.0, 75.0, 70.0, 69.0, 65.0, 60.0, 57.0, 50.0, 43.0, 40.0]",10,60.4
Gameboy Advance,ATV: Quad Power Racing,"Acclaim Entertainment, Inc.",Tantalus Interactive Pty. Ltd.,"Aug 20, 2002",Racing / Driving,Behind view,,,,,,0,,"[67.0, 62.0, 61.0, 60.0, 58.0, 55.0, 53.0, 50.0, 0.0]",9,51.77777777777778
Gameboy Advance,ATV: Thunder Ridge Riders,"Destination Software, Inc.","Skyworks Technologies, Inc.",2006,"Racing / Driving, Sports",1st-person,,,,,,0,,,0,
Gameboy Advance,Avatar: The Last Airbender,THQ Inc.,"Halfbrick Studios Pty Ltd, THQ Australia Studios Pty Ltd.",2006,Action,Diagonal-down,2D scrolling,Anime / Manga,Puzzle elements,,,0,,,0,
Gameboy Advance,Avatar: The Last Airbender - The Burning Earth,THQ Inc.,Halfbrick Studios Pty Ltd,"Oct, 2007",Action,Top-down,,Anime / Manga,,,,0,,[80.0],1,80.0
Gameboy Advance,Babar To The Rescue,"Game Factory ApS, The",Sirius Games A/S,"Aug 07, 2006","Action, Racing / Driving","Side view, Top-down",2D scrolling,,Platform,,,0,,,0,
Gameboy Advance,Back to Stone,"Graffiti Entertainment, LLC",Hidden Floor,2006,Action,,Isometric,,Puzzle elements,,,0,,"[80.0, 70.0, 68.0, 60.0, 60.0, 58.0, 55.0, 30.0, 30.0, 20.0]",10,53.1
Gameboy Advance,BackTrack,"Telegames, Inc.","JV Games, Inc.",2001,Action,1st-person,,,Shooter,,,0,,"[60.0, 41.0, 40.0, 40.0, 39.0]",5,44.0
Gameboy Advance,Backyard Baseball 2006,"Atari, Inc.","GameBrains, Humongous Entertainment, Inc.",2005,Sports,"Behind view, Diagonal-down","2D scrolling, Fixed / flip-screen",,,,,0,,,0,
Gameboy Advance,Backyard Basketball,"Atari, Inc.","Humongous Entertainment, Inc., Mistic Software Inc.","Sep 22, 2004",Sports,,,,,,,0,,,0,
Gameboy Advance,Backyard Basketball 2007,"Atari, Inc.",Mistic Software Inc.,"Sep 26, 2006",Sports,Side view,,,,,,0,,,0,
Gameboy Advance,Backyard Football,"Infogrames, Inc.",Torus Games Pty. Ltd.,2002,Sports,Diagonal-down,,,,,,0,,,0,
Gameboy Advance,Backyard Football 2006,"Atari, Inc.",Torus Games Pty. Ltd.,2005,Sports,Diagonal-down,2D scrolling,,,,,0,,,0,
Gameboy Advance,Backyard Hockey,"Atari, Inc.","Humongous Entertainment, Inc., Mistic Software Inc.","Oct 07, 2003",Sports,Top-down,,,,,,0,,"[60.0, 60.0, 40.0]",3,53.333333333333336
Gameboy Advance,Backyard Skateboarding,"Atari, Inc.","Full Fat Productions Ltd., Humongous Entertainment, Inc.",2005,Sports,Diagonal-down,2D scrolling,,,,,0,,,0,
Gameboy Advance,Baldur's Gate: Dark Alliance,"Destination Software, Inc.",Magic Pockets SAS,"Jan 13, 2004",Role-playing (RPG),Diagonal-down,"2D scrolling, Isometric",,"Action RPG, Hack and slash",,[1.86],1,1.86,"[87.0, 85.0, 84.0, 82.0, 80.0, 80.0, 75.0, 70.0, 50.0, 47.0]",10,74.0
